Draft Year,Pick #,Player,Experience Level,Player Name,Position,Lane Agility,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Bench Press,Season Year
2006,5,Shelden Williams,Senior,Shelden Williams,PF-C,11.53,-,3.59,29.0,33.5,25,2006-07
2006,6,Brandon Roy,Senior,Brandon Roy,SG-SF,11.13,-,3.27,34.0,40.5,6,2006-07
2006,7,Randy Foye,Senior,Randy Foye,SG-PG,10.53,-,3.23,32.0,38.0,14,2006-07
2006,8,Rudy Gay,Sophomore,Rudy Gay,SF-PF,11.03,-,3.32,33.0,40.5,9,2006-07
2006,9,Patrick O'Bryant,Sophomore,Patrick O'Bryant,C,12.68,-,3.63,26.5,30.0,13,2006-07
2006,10,Mouhamed Sene,International,Mouhamed Sene,C,12.52,-,3.38,28.5,31.0,7,2006-07
2006,11,JJ Redick,Senior,JJ Redick,SG,10.94,-,3.29,27.5,33.0,6,2006-07
2006,12,Hilton Armstrong,Senior,Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13,2006-07
2006,14,Ronnie Brewer,Junior,Ronnie Brewer,SG-PG,11.32,-,3.14,35.0,41.0,19,2006-07
2006,15,Cedric Simmons,Sophomore,Cedric Simmons,PF-C,11.05,-,3.31,30.5,35.0,15,2006-07
2005,1,Andrew Bogut,Sophomore,Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13,2005-06
2005,2,Marvin Williams,Freshman,Marvin Williams,PF-SF,11.11,-,3.17,29.5,35.0,12,2005-06
2005,3,Deron Williams,Junior,Deron Williams,PG,10.83,-,3.25,30.0,35.0,15,2005-06
2005,4,Chris Paul,Sophomore,Chris Paul,PG,11.09,-,3.22,32.0,38.0,10,2005-06
2005,5,Raymond Felton,Junior,Raymond Felton,PG,10.50,-,3.06,29.0,33.5,6,2005-06
2005,6,Martell Webster,HS Senior,Martell Webster,SF,11.39,-,3.39,28.0,30.5,7,2005-06
2005,7,Charlie Villanueva,Sophomore,Charlie Villanueva,PF-SF,10.86,-,3.30,26.0,31.0,11,2005-06
2005,8,Channing Frye,Senior,Channing Frye,PF-C,11.60,-,3.38,27.5,31.0,19,2005-06
2005,9,Ike Diogu,Junior,Ike Diogu,PF,11.94,-,3.45,28.0,31.0,21,2005-06
2005,13,Sean May,Junior,Sean May,PF,11.04,-,3.29,30.0,33.0,12,2005-06
2005,14,Rashad McCants,Junior,Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15,2005-06
2005,15,Antoine Wright,Junior,Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12,2005-06
2004,1,Dwight Howard,HS Senior,Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7,2004-05
